date,open,high,low,close,volume,diversity
2022-09-14 13:39:00,84104.2626,84104.2626,84130.4144,84130.4144,2.786088,5
2022-09-14 17:39:00,84130.4144,84130.4144,84155.6509,84155.6509,3.5517499999999997,10
2022-09-14 21:39:00,84155.6509,84155.6509,84174.6985,84174.6985,2.916857,8
2022-09-15 01:39:00,84174.6985,84174.6985,84205.8875,84205.8875,3.326524,14
2022-09-15 05:39:00,84205.8875,84205.8875,84242.4968,84242.4968,4.518436,11
2022-09-15 09:39:00,84242.4968,84242.4968,84298.0012,84298.0012,3.22455,12
2022-09-15 13:39:00,84298.0012,84298.0012,84364.3089,84364.3089,4.4669799999999995,12
2022-09-15 17:39:00,84364.3089,84364.3089,84404.3633,84404.3633,8.994149,7
2022-09-15 21:39:00,84404.3633,84404.3633,84408.8986,84408.8986,6.066038999999999,7
2022-09-16 01:39:00,84408.8986,84390.4551,84400.1371,84409.2886,7.940676000000001,10
2022-09-16 05:39:00,84400.1371,84400.1371,84425.8641,84425.8641,5.658576,10
2022-09-16 09:39:00,84425.8641,84425.8641,84452.5384,84452.5384,4.751625,10
2022-09-16 13:39:00,84452.5384,84452.5384,84480.3848,84480.3848,3.690912,10
2022-09-16 17:39:00,84480.3848,84480.3848,84495.8351,84495.8351,5.954089,6
2022-09-16 21:39:00,84495.8351,84495.8351,84510.9165,84510.9165,5.955308,2
2022-09-17 01:39:00,84510.9165,84510.9165,84535.9585,84535.9585,3.6351119999999995,3
2022-09-17 05:39:00,84535.9585,84535.9585,84560.8711,84560.8711,3.197895,4
2022-09-17 09:39:00,84560.8711,84560.8711,84588.0611,84588.0611,5.46778,4
2022-09-17 13:39:00,84588.0611,84588.0611,84611.3264,84611.3264,11.320468000000002,5
2022-09-17 17:39:00,84611.3264,84611.3264,84635.358,84635.358,4.194966,6
2022-09-17 21:39:00,84635.358,84635.358,84669.3185,84669.3185,6.835414,7
2022-09-18 01:39:00,84669.3185,84669.3185,84707.2984,84707.2984,6.29856,9
2022-09-18 05:39:00,84707.2984,84707.2984,84742.9629,84742.9629,5.323432,7
2022-09-18 09:39:00,84742.9629,84742.9629,84776.7943,84776.7943,8.143646,6
2022-09-18 13:39:00,84776.7943,84776.7943,84800.3966,84800.3966,5.410519,6
2022-09-18 17:39:00,84800.3966,84800.3966,84822.2742,84822.2742,4.590588,5
2022-09-18 21:39:00,84822.2742,84822.2742,84830.4347,84830.4347,3.773139,7
2022-09-19 01:39:00,84830.4347,84830.4347,84837.2573,84837.2573,1.7561120000000001,10
2022-09-19 05:39:00,84837.2573,84837.2573,84847.9748,84847.9748,2.472588,10
2022-09-19 09:39:00,84847.9748,84847.9748,84861.751,84861.751,4.918222999999999,10
2022-09-19 13:39:00,84861.751,84861.751,84873.1086,84873.1086,6.415741,10
2022-09-19 17:39:00,84873.1086,84873.1086,84896.6161,84896.6161,5.850989,8
2022-09-19 21:39:00,84896.6161,84896.6161,84929.0074,84929.0074,8.331475000000001,4
2022-09-20 01:39:00,84929.0074,84929.0074,84941.1909,84941.1909,4.136875,6
2022-09-20 05:39:00,84941.1909,84941.1909,84949.1511,84949.1511,3.014688,7
2022-09-20 09:40:00,84949.1511,84949.1511,84961.909,84961.909,3.857709,8
2022-09-20 13:40:00,84961.909,84961.909,84968.3011,84968.3011,2.4290000000000003,9
2022-09-20 17:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-20 21:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-21 01:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-21 05:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-21 09:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-21 13:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-21 17:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-21 21:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-22 01:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-22 05:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-22 09:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-22 13:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-22 17:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-22 21:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-23 01:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-23 05:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-23 09:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-23 13:40:00,84968.3011,84968.3011,84968.3011,84968.3011,0.0,5
2022-09-23 17:16:00,84968.3011,84968.3011,84987.4015,84987.4015,4.496968,9
2022-09-23 21:16:00,84987.4015,84987.4015,85005.9226,85005.9226,6.421990999999999,8
2022-09-24 01:16:00,85005.9226,85005.9226,85029.0166,85029.0166,3.706877,9
2022-09-24 05:16:00,85029.0166,85029.0166,85051.2166,85051.2166,5.76,9
2022-09-24 09:16:00,85051.2166,85051.2166,85074.3219,85074.3219,6.029722,9
2022-09-24 13:16:00,85074.3219,85074.3219,85092.6751,85092.6751,2.433998,13
2022-09-24 17:16:00,85092.6751,85092.6751,85125.5047,85125.5047,2.188124,12
2022-09-24 21:16:00,85125.5047,85125.5047,85168.7091,85168.7091,3.7090899999999998,11
2022-09-25 01:16:00,85168.7091,85168.7091,85209.2863,85209.2863,6.574676,12
2022-09-25 05:16:00,85209.2863,85209.2863,85249.1753,85249.1753,2.331728,11
2022-09-25 09:16:00,85249.1753,85249.1753,85287.8627,85287.8627,6.148448999999999,12
2022-09-25 13:16:00,85287.8627,85287.8627,85324.4907,85324.4907,6.885,8
2022-09-25 17:16:00,85324.4907,85324.4907,85354.9124,85354.9124,4.345771,7
2022-09-25 21:16:00,85354.9124,85354.9124,85397.1407,85397.1407,2.319965,9
2022-09-26 01:16:00,85397.1407,85397.1407,85437.5711,85437.5711,3.0468830000000002,9
2022-09-26 05:16:00,85437.5711,85437.5711,85480.2791,85480.2791,2.2707439999999997,9
2022-09-26 09:16:00,85480.2791,85480.2791,85520.4931,85520.4931,6.618963000000001,9
2022-09-26 13:16:00,85520.4931,85520.4931,85535.6051,85535.6051,8.554746,13
2022-09-26 17:16:00,85535.6051,85535.6051,85545.3408,85545.3408,4.384983,12
2022-09-26 21:16:00,85545.3408,85545.3408,85557.1322,85557.1322,1.883125,10
2022-09-27 01:16:00,85557.1322,85557.1322,85569.7192,85569.7192,2.0,10
2022-09-27 05:16:00,85569.7192,85569.7192,85582.9172,85582.9172,2.3150000000000004,10
2022-09-27 09:16:00,85582.9172,85582.9172,85599.4886,85599.4886,2.56,12
2022-09-27 13:16:00,85599.4886,85599.4886,85604.8548,85604.8548,2.915587,12
2022-09-27 17:16:00,85604.8548,85604.8548,85608.203,85608.203,2.638607,15
2022-09-27 21:16:00,85608.203,85608.203,85619.5881,85619.5881,3.010102,13
2022-09-28 01:16:00,85619.5881,85619.5881,85642.3407,85642.3407,4.6447270000000005,14
2022-09-28 05:16:00,85642.3407,85642.3407,85667.3103,85667.3103,1.8641999999999999,14
2022-09-28 09:17:00,85667.3103,85667.3103,85696.4512,85696.4512,2.7816280000000004,15
2022-09-28 13:17:00,85696.4512,85696.4512,85716.148,85716.148,5.656931999999999,15
2022-09-28 17:17:00,85716.148,85716.148,85730.6528,85730.6528,1.64675,8
2022-09-28 21:17:00,85730.6528,85730.6528,85767.9327,85767.9327,3.797929,5
2022-09-29 01:17:00,85767.9327,85767.9327,85819.489,85819.489,5.893909,5
2022-09-29 05:17:00,85819.489,85819.489,85873.8616,85873.8616,6.752379999999999,7
2022-09-29 09:17:00,85873.8616,85873.8616,85916.8538,85916.8538,9.870000000000001,7
2022-09-29 13:17:00,85916.8538,85916.8538,85937.645,85937.645,5.631156000000001,7
2022-09-29 17:17:00,85937.645,85937.645,85953.7933,85953.7933,4.0441270000000005,7
2022-09-29 21:17:00,85953.7933,85953.7933,85965.4669,85965.4669,1.9850000000000003,6
2022-09-30 01:17:00,85965.4669,85965.4669,85979.022,85979.022,4.665075,6
2022-09-30 05:17:00,85979.022,85979.022,85997.984,85997.984,5.18,5
